Vendor ID | Vendor Name | AAD Vendor Lead Time | AAD Vendor Cutoff Time | AAD Vendor Override date | AAD Vendor Outage Start | AAD Vendor Outage End | Address Line 1 | Address Line 2 | City | State | Zip | ISO Code | Vendor Catalog Name | Model Type
1058692|ROYAL CHAIN|5|1:30 PM||2022-01-12; 2022-01-17; 2022-03-15; 2022-03-29;|2022-01-13; 2022-01-17; 2022-03-15; 2022-03-29;|2 W. 46th Street, 2nd Floor||New York|NY|10036|US||
1060474|MJJ REPAIR AND CONTRACTING DIV|4|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|902 Broadway, 18th Floor||New York|NY|10010|US||
1082379|FD WORLDWIDE MERCHANDISE GROUP|8|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|131 W. 33rd Street, 17th Floor||New York|NY|10001|US||
1084243|ANERI JEWELS, LLC|5|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|592 5th Avenue, 4th Floor||New York|NY|10036|US||
1090752|DELMAR|4|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-04-22; 2022-05-30; 2022-06-06; 2022-06-24; 2022-07-04; 2022-09-05; 2022-09-26; 2022-10-05; 2022-10-10; 2022-10-17; 2022-11-24; 2022-12-26; 2023-01-02;|2022-01-17; 2022-03-15; 2022-03-29; 2022-04-15; 2022-04-22; 2022-05-30; 2022-06-06; 2022-06-24; 2022-07-04; 2022-09-05; 2022-09-27; 2022-10-05; 2022-10-11; 2022-10-18; 2022-11-24; 2022-12-27; 2023-01-02;|11083 Route 9||Champlain|NY|12919|US||
1100735|BOGARZ INC|15|1:30 PM||2022-01-17; 2022-02-01; 2022-02-21; 2022-03-15; 2022-03-29;|2022-01-18; 2022-02-02; 2022-02-22; 2022-03-15; 2022-03-29;|7410 San Fernando Blvd.||Sun Valley|CA|91352|US||
1100904|QUALITY GOLD INC|22|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|500 Quality Blvd.||Fairfield|OH|45014|US||
1150689|DIAMOND DIRECT|15|1:30 PM||2022-01-17; 2022-03-15; 2022-03-29;|2022-01-17; 2022-03-15; 2022-03-29;|529 5th Avneue, Ste 1700||New York|NY|10017|US||
1203348|JEWELEX NEW YORK LTD|32|1:30 PM||2022-01-03; 2022-03-15; 2022-03-29; 2022-05-30; 2022-07-04; 2022-09-05; 2022-11-24; 2022-12-23; 2022-12-26; 2023-01-02;|2022-01-05; 2022-03-15; 2022-03-29; 2022-05-30; 2022-07-08; 2022-09-05; 2022-11-25; 2022-12-23; 2022-12-30; 2023-01-04;|529 5th Avenue, 18th Floor, Ste 1800||New York|NY|10017|US||
1207745|C MAHENDRA JEWELS|10|1:30 PM||||7500 Bellaire Blvd., Ste 524||Houston|TX|77036|US||
