VendorOutageDates.aadSignetVendor,AAD Vendor Outage,Time created,Type,Time modified,Owner,PK,Is blocked for processing
SignetVendor[8797633218518],Mon Jan 16 00:00:00 CST 2023,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099787936,FALSE
SignetVendor[8797633218518],Mon Jan 02 00:00:00 CST 2023,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099755168,FALSE
SignetVendor[8797633218518],Fri Dec 30 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099722400,FALSE
SignetVendor[8797633218518],Mon Dec 26 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099689632,FALSE
SignetVendor[8797633218518],Fri Dec 23 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099656864,FALSE
SignetVendor[8797633218518],Thu Nov 24 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099624096,FALSE
SignetVendor[8797633218518],Mon Sep 05 00:00:00 CDT 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099591328,FALSE
SignetVendor[8797633218518],Mon Jul 04 00:00:00 CDT 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099558560,FALSE
SignetVendor[8797633218518],Mon May 30 00:00:00 CDT 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099525792,FALSE
SignetVendor[8797633218518],Tue Mar 29 00:00:00 CDT 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099493024,FALSE
SignetVendor[8797633218518],Tue Mar 15 00:00:00 CDT 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099460256,FALSE
SignetVendor[8797633218518],Mon Jan 17 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099427488,FALSE
SignetVendor[8797633185750],Mon Jan 16 00:00:00 CST 2023,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099394720,FALSE
SignetVendor[8797633185750],Mon Jan 02 00:00:00 CST 2023,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099361952,FALSE
SignetVendor[8797633185750],Fri Dec 30 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099329184,FALSE
SignetVendor[8797633185750],Mon Dec 26 00:00:00 CST 2022,Thu Jul 06 02:35:31 CDT 2023,VendorOutageDates,Thu Jul 06 02:35:31 CDT 2023,Null,8867099296416,FALSE
